candidate,tweet,date
Matt Rosendale,"I'd like to thank #MTSen GOPer Matt Rosendale for saying that he doesn't support protections for pre-existing conditions.

I applaud both his honesty for saying what he believes and his stupidity for saying it out loud.

Re-elect @jontester.
#FlipTheSenate
https://t.co/LIgzBbQKIp",2018-10-22 22:56:41
Matt Rosendale,"It’s simple: @MattRosendale has made it clear he won’t protect the 152,000 Montanans who have pre-existing conditions. #mtpol #mtsen

https://t.co/56Q4iwCaqY",2018-10-28 23:52:35
Matt Rosendale,"“It’s big, I mean, it’s really big” Rosendale said of the impact the Kavanaugh confirmation had on his race. Rep. Matt Rosendale is running against Dem. Sen. Jon Tester in #Montana. Both camps expect a photo finish. #VoteRedToSaveAmerica #MidtermElections

https://t.co/Ahppifn7na",2018-10-28 23:52:51
Matt Rosendale,"Awesome time in Montana with @drrandpaul stumping for Matt Rosendale @MattForMontana! It’s time to shrink government, put America first and stop the endless spending! Montana needs to send Rosendale to the US Senate and put Tester into retirement! #mt #montana #mtsen https://t.co/FXnpxBsQnA",2018-10-28 23:54:40
Matt Rosendale,"Jon Tester says one thing to voters and does the EXACT OPPOSITE in Washington. Tester takes his orders form Pelosi &amp; Schumer. Tester wants to raise your taxes, take away your 2A, open your borders, and deliver MOB RULE. Retire Tester &amp; Elect America-First Patriot Matt Rosendale!",2018-10-28 23:59:19
Matt Rosendale,"MONTANA

U.S. Senate:

Jon Tester (D) 49%

Matt Rosendale (R) 39%

Rick Breckenridge (L) 2%

(U. of Montana Big Sky Poll, LV, 10/10-18/18)",2018-10-28 23:59:27
Matt Rosendale,"John James

Kevin Cramer

Matt Rosendale

Rick Scott

Martha McSally

Marsha Blackburn

Bob Hugin

Ron DeSantis

Ted Cruz

Karin Housley

Leah Vukmir

Josh Hawley

Dean Heller

Mike Braun

Patrick Morrisey

VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:29
Mike Braun,"@BigLiciousT I usually take a knee during each political commercial. Luckily my Toughskins jeans have knee patches or they'd be worn thin.  If I see one more Mike Braun commercial, I swear I'm going to punch the next horse I see in town.",2018-10-28 23:40:34
Mike Braun,"Vote for the following candidates in November:

Missouri: Josh Hawley (R)

Montana: Matt Rosendale (R)

Tennessee: Marsha Blackburn (R)

Indiana: Mike Braun (R)

North Dakota: Kevin Cramer (R)

We need to turn these seats RED!

@GOP will #MAGA",2018-10-28 23:41:35
Mike Braun,"Mike #MakeMeYawnBraun is incapable of reaching across the aisle because Trump won’t allow it.  Braun clearly takes his marching orders from Trump - not Hoosiers. Thanks Joe for having the backs of your constituents. https://t.co/ndgGeqW4cl

@JoeforIndiana @braun4indiana Braun has the most sickening campaign and it is all about party and Trump. Not a single mention of “bipartisan”.  Am with you Joe.  Am a donor and a volunteer.   Proud to have you as our Senator",2018-10-28 23:43:40
Mike Braun,I am one more Joe Donnelly vs Mike Braun commercial away from throwing my tv out the window,2018-10-28 23:50:58
Mike Braun,"CBS/YouGov Senate polls



FLORIDA

Bill Nelson (D) 46%

Rick Scott (R) 46%



INDIANA

Mike Braun (R) 46%

Joe Donnelly (D) 43%



ARIZONA

Kyrsten Sinema (D) 47%

Martha McSally (R) 44%



https://t.co/PJl6sJEiF0",2018-10-28 23:52:31
Mike Braun,"mike braun our man indiana,",2018-10-28 23:55:56
Mike Braun,"Missouri, vote for Josh Hawley!

Indiana, vote for Mike Braun!

New Jersey, vote for Bob Hugin!

Georgia, vote for Brian Kemp!

Florida, vote for Rick Scott and Ron DeSantis! 

New Hampshire, vote with Eddie Edwards! 

Michigan ,vote for John James! 

Arizona, vote for Martha McSally! https://t.co/XAjXtSySWX",2018-11-04 23:59:40
Mike Braun,"John James

Kevin Cramer

Matt Rosendale

Rick Scott

Martha McSally

Marsha Blackburn

Bob Hugin

Ron DeSantis

Ted Cruz

Karin Housley

Leah Vukmir

Josh Hawley

Dean Heller

Mike Braun

Patrick Morrisey

VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:41
Mike Braun,"IndyStar Editorial Board: “For Hoosiers who are generally happy with Trump's performance and who want a senator who will help drive the administration's agenda on Capitol Hill, Mike Braun is the ideal choice in this year's Senate race.” #INSen https://t.co/FQcaW4ilSb",2018-11-04 23:59:48
Mike Braun,IndyStar Editorial Board: Why Mike Braun is right choice for U.S. Senate https://t.co/5RLkaOUUIp via @indystar @braun4indiana is without a doubt the best choice! @realDonaldTrump @MikePenceVP @Jim_Banks,2018-11-04 23:59:59
Patrick Morrisey,Donald Trump Jr. spoke at a campaign rally in West Virginia for U.S. Senate candidate Patrick Morrisey. https://t.co/A4iU91mdU1,2018-10-22 23:47:29
Patrick Morrisey,"Hmm, Patrick Morrisey running for office in WV? Born in NYC, raised in Jersey. I guess Country Roads to him means the Jersey Turnpike. Lol
@EPWVLaw @cspanwj  https://t.co/Ggwkx0hgBp",2018-10-22 23:42:55
Patrick Morrisey,"Patrick Morrisey got caught meeting with executives from the pain pill companies his office was taking to court. Why should West Virginians believe that Pat is looking out for them, and not his friends in the pharmaceutical industry? #wvsen #wvpol https://t.co/8kNt3xSYc2",2018-10-22 23:33:25
Patrick Morrisey,"Please vote for Patrick Morrisey to WIN West Virginia U.S. Senate. @POTUS #MAGA #FinishTheWall #DeportAllIllegals #MakingAmericaSafeAgain #VoteRepublican2018 for House, Senate &amp; Governor on Nov. 6, 2018 #RedWaveComing2018 #JobsNotMobs #10%TaxCuts https://t.co/CfBzMAliLb",2018-10-22 23:28:26
Patrick Morrisey,West Virginia: Republicans Try To Get Ahead of Patrick Morrisey’s Baggage In Bid To Beat Manchin https://t.co/G2e57eIqsB,2018-10-22 23:25:15
Patrick Morrisey,"West Virginia senate election voting intention

Joe Manchin (D): 52% (+6)
Patrick Morrisey (R): 36% (-2)

10/17 - (Strategic Research)
Changes with 9/27",2018-10-22 23:14:16
Patrick Morrisey,Knowing this why would the UMWA support or any member vote for Manchin? Vote Patrick Morrisey.🇺🇸🇺🇸 https://t.co/Wx856sO9x8,2018-10-28 22:39:15
Patrick Morrisey,"Saturday, 29 September 2018

20:47:51 #POTUS #Motorcade Departure - WesBanco Arena en route Wheeling Ohio County Airport

21:05:08 Arrival

21:15:14 #AirForceOne #AF1 Departure - en route JBA (KADW)



WEST VIRGINIA --&gt; VOTE REPUBLICAN --&gt; VOTE PATRICK MORRISEY https://t.co/ZlPYgFRnvN",2018-10-28 23:04:49
Patrick Morrisey,WV MetroNews – Patrick Morrisey wants all the facts before taking stance on Rockwool issue: https://t.co/9V9oymW2PA,2018-10-28 23:58:03
Patrick Morrisey,"John James

Kevin Cramer

Matt Rosendale

Rick Scott

Martha McSally

Marsha Blackburn

Bob Hugin

Ron DeSantis

Ted Cruz

Karin Housley

Leah Vukmir

Josh Hawley

Dean Heller

Mike Braun

Patrick Morrisey

VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:29
Phil Bredesen,“He [Phil Bredesen] was for Kavanaugh after the votes were in. Marsha was for Kavanaugh the day he was nominated.” - @LindseyGrahamSC https://t.co/xB0JipWBsz,2018-10-28 23:53:48
Phil Bredesen,My opponent laughs at clear threats to our border security. A vote for Phil Bredesen is a vote for open borders. https://t.co/NfPVp5iUPO,2018-10-28 23:55:13
Phil Bredesen,"SPREAD THE WORD.



Tennessee:  Vote for Phil Bredesen! 



Tennessee:  Vote for Phil Bredesen! 



Tennessee:  Vote for Phil Bredesen! 



Tennessee:  Vote for Phil Bredesen! 



Tennessee:  Vote for Phil Bredesen! 



@PhilBredesen 



#BlueWave #VoteBlue 🌊 https://t.co/q6qyQbcjGO",2018-10-28 23:56:43
Phil Bredesen,"Four Questions for America’s Ugliest Campaign https://t.co/fVEe4S4dIu. MARSHA BLACKBURN BOUGHT BY DRUG COMPANIES, WHO PAYS FOR HER VOTES! VOTE BREDESEN!!!",2018-11-04 23:53:28
Phil Bredesen,"This election cycle, the NRA has spent $1.1 million attacking Joe Donnelly.



Just last week, it spent $195,248 attacking Phil Bredesen and $170,951 attacking Claire McCaskill.



Democrats want to do something about the gun violence epidemic so the NRA is spending big to stop them.",2018-11-04 23:55:57
Phil Bredesen,"Taylor Swift announces on Instagram that she cast an early vote for Democratic Senate candidate Phil Bredesen in Tennessee, and urged others in the state to do the same. 



https://t.co/CNIYs0nCMd",2018-11-04 23:56:01
Phil Bredesen,"Mildly interesting red-state trend: Heidi Heitkamp and Claire McCaskill are losing steam down the stretch while Joe Manchin, Joe Donnelly, Phil Bredesen and Beto O’Rourke are either ahead or closing in. 🤔",2018-11-04 23:57:46
Phil Bredesen,@realDonaldTrump We don't want you here. You must be desperate to hold onto the Senate.  We don't want Blackburn going to the Senate. We will vote for Phil Bredesen. #VoteBlue #BlueWave #VoteDem #VoteDemocrat #GOPVotingBlue,2018-11-04 23:58:22
Phil Bredesen,"Let’s do our part to end hyper-partisan gridlock in Washington and send Phil Bredesen! #GoVoteTN https://t.co/1OVMph7Kkl

Our national politics have lost touch. The grudges &amp; disagreements have become too great. My mission today is to ask you to join me in fixing it. I want to go to work to restore the idea that America is something new, something exceptional.

https://t.co/JdEcRaCnES",2018-11-04 23:59:25
Phil Bredesen,"@VoteMarsha @realDonaldTrump Neither you or Trump have a thimble full of accomplishments combined!  We NEED leadership....we NEED progress....

PHIL BREDESEN can deliver both.",2018-11-04 23:59:58
Rick Scott,@GKeile DON'T forget about Rick Scott in Florida over the *do-nothing* Bill Nelson! Vote #RickScott #VoteRedToSaveAmerica https://t.co/UmlyhxywAV,2018-10-28 23:58:15
Rick Scott,This pretty much sums it up - Scott's done a poor job as governor and enriched himself in office: https://t.co/M9cBVMIFzJ,2018-10-28 23:58:20
Rick Scott,"Governor Rick Scott has been amazing since the hurricane ... He's always down here providing support, FEMA is everywhere, Red Cross, you name it. We're being well taken care of.



Bill Nelson is absolutely nowhere to be found.  Big Surprise. He's a Democrat.",2018-10-28 23:58:35
Rick Scott,"President Trump needs support in the US Senate.



Remember FLORIDA—

President Trump needs Governor Rick Scott not nincompoop Nelson.



#VoteDemsOut #VoteRED

#MAGA #KAG2018 #KAG

#WalkAway #StayMad https://t.co/nyYPtwOX1n",2018-10-28 23:58:55
Rick Scott,"There seems to be no end to the ways in which Rick Scott enriches himself in public office.



https://t.co/1JoOmEgMzl",2018-10-28 23:59:01
Rick Scott,🌴💗Hey FLORIDA!!!💗🌴 Please Get Out and 🇺🇸Vote for Rick Scott!!!🇺🇸 He is an Awesome Patriot who will Keep Florida Great...and Make Florida Strong!!! #VoteRepublican #KeepFloridaRed #Midterms2018 #EveryVoteMatters https://t.co/9Stk4bSyme,2018-10-28 23:59:59
Rick Scott,"John James

Kevin Cramer

Matt Rosendale

Rick Scott

Martha McSally

Marsha Blackburn

Bob Hugin

Ron DeSantis

Ted Cruz

Karin Housley

Leah Vukmir

Josh Hawley

Dean Heller

Mike Braun

Patrick Morrisey

VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:44
Rick Scott,EXCELLENT -&gt; Rick Scott Takes Rare Lead in Last-Minute Fla. Senate Poll  https://t.co/QTf0VYr8pq,2018-11-04 23:59:46
Rick Scott,"Slightly revising his hit ""Margaritaville,” @jimmybuffett today criticized Rick Scott for the state’s environmental mess: “Some people say there’s a red tide to blame, but I know, that it’s all Rick Scott’s fault.” https://t.co/aDcMGYrfTQ",2018-11-04 23:59:55
Rick Scott,It’s official. NOT ONE major Florida newspaper endorsed Rick Scott for Senate. Newspapers across the state say Bill Nelson is the right choice for Florida. https://t.co/29HsbimhWK,2018-11-04 23:59:58
