,sentiment,tweet,candidate
120,1.0,"@BigLiciousT I usually take a knee during each political commercial. Luckily my Toughskins jeans have knee patches or they'd be worn thin.  If I see one more Mike Braun commercial, I swear I'm going to punch the next horse I see in town.",Mike Braun
121,1.0,"Vote for the following candidates in November:

Missouri: Josh Hawley (R)

Montana: Matt Rosendale (R)

Tennessee: Marsha Blackburn (R)

Indiana: Mike Braun (R)

North Dakota: Kevin Cramer (R)

We need to turn these seats RED!

@GOP will #MAGA",Mike Braun
122,1.0,"Mike #MakeMeYawnBraun is incapable of reaching across the aisle because Trump won’t allow it.  Braun clearly takes his marching orders from Trump - not Hoosiers. Thanks Joe for having the backs of your constituents. https://t.co/ndgGeqW4cl

@JoeforIndiana @braun4indiana Braun has the most sickening campaign and it is all about party and Trump. Not a single mention of “bipartisan”.  Am with you Joe.  Am a donor and a volunteer.   Proud to have you as our Senator",Mike Braun
123,0.0,I am one more Joe Donnelly vs Mike Braun commercial away from throwing my tv out the window,Mike Braun
124,0.0,"CBS/YouGov Senate polls



FLORIDA

Bill Nelson (D) 46%

Rick Scott (R) 46%



INDIANA

Mike Braun (R) 46%

Joe Donnelly (D) 43%



ARIZONA

Kyrsten Sinema (D) 47%

Martha McSally (R) 44%



https://t.co/PJl6sJEiF0",Mike Braun
125,1.0,"mike braun our man indiana,",Mike Braun
126,1.0,"Missouri, vote for Josh Hawley!

Indiana, vote for Mike Braun!

New Jersey, vote for Bob Hugin!

Georgia, vote for Brian Kemp!

Florida, vote for Rick Scott and Ron DeSantis! 

New Hampshire, vote with Eddie Edwards! 

Michigan ,vote for John James! 

Arizona, vote for Martha McSally! https://t.co/XAjXtSySWX",Mike Braun
127,1.0,"John James

Kevin Cramer

Matt Rosendale

Rick Scott

Martha McSally

Marsha Blackburn

Bob Hugin

Ron DeSantis

Ted Cruz

Karin Housley

Leah Vukmir

Josh Hawley

Dean Heller

Mike Braun

Patrick Morrisey

VOTE VOTE VOTE VOTE VOTE",Mike Braun
128,1.0,"IndyStar Editorial Board: “For Hoosiers who are generally happy with Trump's performance and who want a senator who will help drive the administration's agenda on Capitol Hill, Mike Braun is the ideal choice in this year's Senate race.” #INSen https://t.co/FQcaW4ilSb",Mike Braun
129,1.0,IndyStar Editorial Board: Why Mike Braun is right choice for U.S. Senate https://t.co/5RLkaOUUIp via @indystar @braun4indiana is without a doubt the best choice! @realDonaldTrump @MikePenceVP @Jim_Banks,Mike Braun
130,1.0,Donald Trump Jr. spoke at a campaign rally in West Virginia for U.S. Senate candidate Patrick Morrisey. https://t.co/A4iU91mdU1,Patrick Morrisey
131,1.0,"Hmm, Patrick Morrisey running for office in WV? Born in NYC, raised in Jersey. I guess Country Roads to him means the Jersey Turnpike. Lol
@EPWVLaw @cspanwj  https://t.co/Ggwkx0hgBp",Patrick Morrisey
132,0.0,"Patrick Morrisey got caught meeting with executives from the pain pill companies his office was taking to court. Why should West Virginians believe that Pat is looking out for them, and not his friends in the pharmaceutical industry? #wvsen #wvpol https://t.co/8kNt3xSYc2",Patrick Morrisey
133,1.0,"Please vote for Patrick Morrisey to WIN West Virginia U.S. Senate. @POTUS #MAGA #FinishTheWall #DeportAllIllegals #MakingAmericaSafeAgain #VoteRepublican2018 for House, Senate &amp; Governor on Nov. 6, 2018 #RedWaveComing2018 #JobsNotMobs #10%TaxCuts https://t.co/CfBzMAliLb",Patrick Morrisey
134,0.0,West Virginia: Republicans Try To Get Ahead of Patrick Morrisey’s Baggage In Bid To Beat Manchin https://t.co/G2e57eIqsB,Patrick Morrisey
135,1.0,"West Virginia senate election voting intention

Joe Manchin (D): 52% (+6)
Patrick Morrisey (R): 36% (-2)

10/17 - (Strategic Research)
Changes with 9/27",Patrick Morrisey
136,1.0,Knowing this why would the UMWA support or any member vote for Manchin? Vote Patrick Morrisey.🇺🇸🇺🇸 https://t.co/Wx856sO9x8,Patrick Morrisey
137,1.0,"Saturday, 29 September 2018

20:47:51 #POTUS #Motorcade Departure - WesBanco Arena en route Wheeling Ohio County Airport

21:05:08 Arrival

21:15:14 #AirForceOne #AF1 Departure - en route JBA (KADW)



WEST VIRGINIA --&gt; VOTE REPUBLICAN --&gt; VOTE PATRICK MORRISEY https://t.co/ZlPYgFRnvN",Patrick Morrisey
138,1.0,WV MetroNews – Patrick Morrisey wants all the facts before taking stance on Rockwool issue: https://t.co/9V9oymW2PA,Patrick Morrisey
139,1.0,"John James

Kevin Cramer

Matt Rosendale

Rick Scott

Martha McSally

Marsha Blackburn

Bob Hugin

Ron DeSantis

Ted Cruz

Karin Housley

Leah Vukmir

Josh Hawley

Dean Heller

Mike Braun

Patrick Morrisey

VOTE VOTE VOTE VOTE VOTE",Patrick Morrisey
140,1.0,“He [Phil Bredesen] was for Kavanaugh after the votes were in. Marsha was for Kavanaugh the day he was nominated.” - @LindseyGrahamSC https://t.co/xB0JipWBsz,Phil Bredesen
141,1.0,My opponent laughs at clear threats to our border security. A vote for Phil Bredesen is a vote for open borders. https://t.co/NfPVp5iUPO,Phil Bredesen
142,1.0,"SPREAD THE WORD.



Tennessee:  Vote for Phil Bredesen! 



Tennessee:  Vote for Phil Bredesen! 



Tennessee:  Vote for Phil Bredesen! 



Tennessee:  Vote for Phil Bredesen! 



Tennessee:  Vote for Phil Bredesen! 



@PhilBredesen 



#BlueWave #VoteBlue 🌊 https://t.co/q6qyQbcjGO",Phil Bredesen
143,1.0,"Four Questions for America’s Ugliest Campaign https://t.co/fVEe4S4dIu. MARSHA BLACKBURN BOUGHT BY DRUG COMPANIES, WHO PAYS FOR HER VOTES! VOTE BREDESEN!!!",Phil Bredesen
144,0.0,"This election cycle, the NRA has spent $1.1 million attacking Joe Donnelly.



Just last week, it spent $195,248 attacking Phil Bredesen and $170,951 attacking Claire McCaskill.



Democrats want to do something about the gun violence epidemic so the NRA is spending big to stop them.",Phil Bredesen
145,1.0,"Taylor Swift announces on Instagram that she cast an early vote for Democratic Senate candidate Phil Bredesen in Tennessee, and urged others in the state to do the same. 



https://t.co/CNIYs0nCMd",Phil Bredesen
146,1.0,"Mildly interesting red-state trend: Heidi Heitkamp and Claire McCaskill are losing steam down the stretch while Joe Manchin, Joe Donnelly, Phil Bredesen and Beto O’Rourke are either ahead or closing in. 🤔",Phil Bredesen
147,1.0,@realDonaldTrump We don't want you here. You must be desperate to hold onto the Senate.  We don't want Blackburn going to the Senate. We will vote for Phil Bredesen. #VoteBlue #BlueWave #VoteDem #VoteDemocrat #GOPVotingBlue,Phil Bredesen
148,1.0,"Let’s do our part to end hyper-partisan gridlock in Washington and send Phil Bredesen! #GoVoteTN https://t.co/1OVMph7Kkl

Our national politics have lost touch. The grudges &amp; disagreements have become too great. My mission today is to ask you to join me in fixing it. I want to go to work to restore the idea that America is something new, something exceptional.

https://t.co/JdEcRaCnES",Phil Bredesen
149,1.0,"@VoteMarsha @realDonaldTrump Neither you or Trump have a thimble full of accomplishments combined!  We NEED leadership....we NEED progress....

PHIL BREDESEN can deliver both.",Phil Bredesen
150,1.0,@GKeile DON'T forget about Rick Scott in Florida over the *do-nothing* Bill Nelson! Vote #RickScott #VoteRedToSaveAmerica https://t.co/UmlyhxywAV,Rick Scott
151,0.0,This pretty much sums it up - Scott's done a poor job as governor and enriched himself in office: https://t.co/M9cBVMIFzJ,Rick Scott
152,1.0,"Governor Rick Scott has been amazing since the hurricane ... He's always down here providing support, FEMA is everywhere, Red Cross, you name it. We're being well taken care of.



Bill Nelson is absolutely nowhere to be found.  Big Surprise. He's a Democrat.",Rick Scott
153,1.0,"President Trump needs support in the US Senate.



Remember FLORIDA—

President Trump needs Governor Rick Scott not nincompoop Nelson.



#VoteDemsOut #VoteRED

#MAGA #KAG2018 #KAG

#WalkAway #StayMad https://t.co/nyYPtwOX1n",Rick Scott
154,0.0,"There seems to be no end to the ways in which Rick Scott enriches himself in public office.



https://t.co/1JoOmEgMzl",Rick Scott
155,1.0,🌴💗Hey FLORIDA!!!💗🌴 Please Get Out and 🇺🇸Vote for Rick Scott!!!🇺🇸 He is an Awesome Patriot who will Keep Florida Great...and Make Florida Strong!!! #VoteRepublican #KeepFloridaRed #Midterms2018 #EveryVoteMatters https://t.co/9Stk4bSyme,Rick Scott
156,1.0,"John James

Kevin Cramer

Matt Rosendale

Rick Scott

Martha McSally

Marsha Blackburn

Bob Hugin

Ron DeSantis

Ted Cruz

Karin Housley

Leah Vukmir

Josh Hawley

Dean Heller

Mike Braun

Patrick Morrisey

VOTE VOTE VOTE VOTE VOTE",Rick Scott
157,1.0,EXCELLENT -&gt; Rick Scott Takes Rare Lead in Last-Minute Fla. Senate Poll  https://t.co/QTf0VYr8pq,Rick Scott
158,1.0,"Slightly revising his hit ""Margaritaville,” @jimmybuffett today criticized Rick Scott for the state’s environmental mess: “Some people say there’s a red tide to blame, but I know, that it’s all Rick Scott’s fault.” https://t.co/aDcMGYrfTQ",Rick Scott
159,1.0,It’s official. NOT ONE major Florida newspaper endorsed Rick Scott for Senate. Newspapers across the state say Bill Nelson is the right choice for Florida. https://t.co/29HsbimhWK,Rick Scott
